ticket_id,created_at,resolved_at,category,severity,status,description,assignee
INC00035,2025-01-08T15:54:57,2025-01-09T13:43:45,Telephony,Medium,Closed,Call quality degraded during peak hours on SIP trunk,grace.kim
INC00036,2025-01-08T18:30:20,2025-01-14T04:57:21,Hardware,Low,Closed,Docking station not recognizing external monitor,henry.nakamura
INC00037,2025-01-09T00:18:17,2025-01-11T10:03:39,Access,Medium,Closed,New employee cannot access required systems on first day,alice.chen
INC00038,2025-01-09T01:55:24,2025-01-10T08:57:37,Printing,Medium,Resolved,Network printer offline after firmware update,eva.morales
INC00039,2025-01-09T03:36:59,2025-01-09T07:21:18,Network,Critical,Resolved,DNS resolution failing intermittently for LATAM users,alice.chen
INC00040,2025-01-09T10:56:11,2025-01-11T03:58:16,Software,Medium,Closed,Browser extensions blocked by new endpoint policy,frank.olsson
INC00041,2025-01-09T18:05:44,2025-01-11T00:35:15,Telephony,Low,Closed,Phone extension 5 ringing wrong desk after move,henry.nakamura
INC00042,2025-01-09T19:37:17,2025-01-09T20:30:00,Network,Critical,Closed,Wi-Fi drops in Building C during peak hours,bob.rivera
INC00043,2025-01-10T07:22:17,2025-01-10T09:52:36,Security,Critical,Closed,"Phishing email reported by NA-West team, possible click-through",frank.olsson
INC00044,2025-01-10T18:45:48,2025-01-10T21:04:58,Network,Critical,Closed,"Switch port flapping on rack R20, multiple users affected",grace.kim
INC00045,2025-01-10T20:33:45,2025-01-10T23:32:41,Security,Critical,Closed,Suspicious outbound traffic detected from 4th floor segment,frank.olsson
INC00046,2025-01-12T09:04:40,2025-01-14T13:50:37,Printing,Low,Closed,"Printer in Building A stuck in queue, jobs not releasing",alice.chen
INC00047,2025-01-12T19:43:03,2025-01-13T08:57:02,Network,Medium,Resolved,Cannot reach internal site hr from remote network,deepak.patel
INC00048,2025-01-13T00:48:41,2025-01-15T12:18:55,Network,Low,Closed,VLAN tagging issue preventing access to finance subnet,bob.rivera
INC00049,2025-01-13T08:21:08,2025-01-13T09:51:41,Email,Critical,Resolved,Distribution list hr-team not receiving messages,grace.kim
INC00050,2025-01-13T19:19:41,2025-01-14T08:01:01,Software,High,Closed,Database query timeout from engineering reporting tool,frank.olsson
INC00051,2025-01-14T08:51:50,2025-01-16T02:34:13,Network,Low,Resolved,VLAN tagging issue preventing access to hr subnet,henry.nakamura
INC00052,2025-01-14T09:35:54,2025-01-14T16:03:10,Security,High,Closed,"USB device blocked by DLP policy, user requests exception",alice.chen
INC00053,2025-01-14T10:51:01,2025-01-17T07:52:28,Email,Medium,Closed,Cannot send email with large attachment to external domain,deepak.patel
INC00054,2025-01-14T11:24:30,2025-01-16T09:09:00,Hardware,Low,Closed,Headset audio cuts out during calls on docked machines,carla.singh
INC00055,2025-01-14T15:19:57,2025-01-14T18:36:04,Network,High,Closed,Wi-Fi drops in Building B during peak hours,bob.rivera
INC00056,2025-01-14T15:47:05,2025-01-15T03:52:27,Network,High,Closed,DNS resolution failing intermittently for NA-East users,carla.singh
INC00057,2025-01-14T17:39:09,2025-01-14T21:36:43,Network,High,Closed,VLAN tagging issue preventing access to sales subnet,henry.nakamura
INC00058,2025-01-14T22:06:05,2025-01-16T08:30:56,Network,Medium,Closed,Wi-Fi drops in Building A during peak hours,eva.morales
INC00059,2025-01-15T02:51:06,2025-01-16T03:07:52,Security,High,Closed,Anomalous login from foreign IP for hr account,grace.kim
INC00060,2025-01-15T10:04:31,2025-01-17T23:05:53,Hardware,Low,Closed,Hard drive SMART failure warning on workstation R33,alice.chen
INC00061,2025-01-15T11:24:14,2025-01-15T15:24:49,Network,Critical,Resolved,Wi-Fi drops in Building D during peak hours,grace.kim
INC00062,2025-01-15T12:04:44,2025-01-18T19:52:29,Hardware,Low,Resolved,User laptop battery drains within 5 hours of unplugging,bob.rivera
INC00063,2025-01-15T12:20:32,2025-01-17T02:55:26,Email,Medium,Resolved,Cannot send email with large attachment to external domain,alice.chen
INC00064,2025-01-15T13:25:10,2025-01-19T02:04:23,Access,Low,Closed,Employee unable to access shared drive after department transfer,eva.morales
INC00065,2025-01-15T14:29:29,2025-01-18T04:35:34,Network,Medium,Closed,DNS resolution failing intermittently for NA-West users,eva.morales
INC00066,2025-01-15T14:40:58,2025-01-17T16:04:33,Email,Low,Closed,Outlook freezes when opening attachments larger than 10MB,alice.chen
INC00067,2025-01-15T15:42:11,2025-01-16T16:07:03,Software,Medium,Closed,Browser extensions blocked by new endpoint policy,deepak.patel
INC00068,2025-01-15T17:14:52,2025-01-16T12:42:37,Email,Medium,Closed,Mailbox quota exceeded warning for NA-West users,eva.morales
INC00069,2025-01-15T17:45:12,2025-01-16T04:43:23,Software,Medium,Closed,License server unreachable from finance office,eva.morales
INC00070,2025-01-15T18:29:13,2025-01-23T03:28:48,Hardware,Low,Closed,User laptop battery drains within 15 hours of unplugging,alice.chen
INC00071,2025-01-16T09:05:54,2025-01-18T05:14:07,Security,Medium,Closed,Endpoint protection alert on workstation R21,frank.olsson
INC00072,2025-01-16T10:51:57,2025-01-20T20:15:12,Hardware,Low,Resolved,Mouse cursor stutters on EMEA office laptops,bob.rivera
INC00073,2025-01-16T11:59:06,2025-01-17T19:50:37,Network,Medium,Resolved,Cannot reach internal site hr from remote network,frank.olsson
INC00074,2025-01-16T15:02:04,2025-01-17T06:06:10,Software,Medium,Closed,Application crashes after latest update on 5th floor,carla.singh
INC00075,2025-01-16T16:01:09,2025-01-17T10:36:48,Network,Low,Closed,Slow network performance reported on ground floor,deepak.patel
INC00076,2025-01-16T16:15:22,2025-01-16T21:39:10,Network,Critical,Closed,VLAN tagging issue preventing access to ops subnet,frank.olsson
INC00077,2025-01-16T16:18:13,2025-01-17T01:42:12,Software,High,Closed,PDF viewer hangs on documents larger than 60MB,grace.kim
INC00078,2025-01-16T19:51:27,2025-01-23T09:02:04,Access,Low,Closed,MFA prompt loop preventing login to ops portal,carla.singh
INC00079,2025-01-16T22:17:47,2025-01-17T06:14:56,Access,High,Resolved,Role permissions revoked unexpectedly for LATAM team,deepak.patel
INC00080,2025-01-17T14:53:11,2025-01-18T23:26:46,Email,Medium,Resolved,Cannot send email with large attachment to external domain,bob.rivera
INC00081,2025-01-17T18:49:09,2025-01-20T08:19:47,Software,Low,Closed,Excel macros disabled after security patch,bob.rivera
INC00082,2025-01-17T23:10:26,2025-01-18T14:20:55,Network,High,Resolved,VPN disconnects every 2 minutes for remote users in APAC,frank.olsson
INC00083,2025-01-17T23:21:48,2025-01-26T11:29:24,Software,Low,Closed,PDF viewer hangs on documents larger than 15MB,alice.chen
INC00084,2025-01-18T09:08:04,2025-01-21T19:46:24,Printing,Low,Closed,"Printer in Building D stuck in queue, jobs not releasing",carla.singh
INC00085,2025-01-18T23:40:06,2025-01-21T05:30:24,Access,Medium,Resolved,Password reset link not delivered to corporate email,deepak.patel
INC00086,2025-01-19T11:12:57,2025-01-23T06:03:00,Printing,Low,Closed,Network printer offline after firmware update,carla.singh
INC00087,2025-01-19T20:25:06,2025-01-23T19:20:14,Software,Low,Resolved,Browser extensions blocked by new endpoint policy,alice.chen
INC00088,2025-01-20T02:01:22,2025-01-20T21:18:52,Access,Medium,Closed,Password reset link not delivered to corporate email,bob.rivera
INC00089,2025-01-20T10:39:37,2025-01-23T08:44:34,Printing,Medium,Closed,"Printer in Building A stuck in queue, jobs not releasing",henry.nakamura
INC00090,2025-01-20T13:28:27,2025-01-26T04:45:04,Printing,Low,Closed,"Printer in Building D stuck in queue, jobs not releasing",eva.morales
INC00091,2025-01-20T16:41:24,2025-01-21T13:08:00,Access,Medium,Closed,New employee cannot access required systems on first day,grace.kim
INC00092,2025-01-20T18:57:22,2025-01-21T02:08:44,Network,High,Closed,Wi-Fi drops in Building D during peak hours,henry.nakamura
INC00093,2025-01-21T07:06:13,2025-01-21T09:32:01,Network,High,Closed,DNS resolution failing intermittently for LATAM users,frank.olsson
INC00094,2025-01-21T10:48:49,2025-01-22T13:17:18,Access,Medium,Closed,Role permissions revoked unexpectedly for APAC team,eva.morales
INC00095,2025-01-21T15:28:14,2025-01-21T17:38:19,Security,High,Resolved,Anomalous login from foreign IP for ops account,carla.singh
INC00096,2025-01-21T23:54:37,2025-01-22T06:31:27,Access,Medium,Resolved,MFA prompt loop preventing login to engineering portal,bob.rivera
INC00097,2025-01-22T04:03:26,2025-01-22T08:10:31,Network,High,Closed,"Switch port flapping on rack R17, multiple users affected",henry.nakamura
INC00098,2025-01-22T07:08:18,2025-01-22T11:45:29,Network,Critical,Closed,"Switch port flapping on rack R33, multiple users affected",grace.kim
INC00099,2025-01-22T20:38:06,2025-01-23T02:05:20,Access,Critical,Resolved,"SSO token expired prematurely, users locked out of finance",deepak.patel
INC00100,2025-01-23T01:20:28,2025-01-23T03:32:37,Software,Critical,Closed,Excel macros disabled after security patch,eva.morales
INC00101,2025-01-23T08:42:31,2025-01-25T15:03:55,Network,Medium,Closed,Wi-Fi drops in Building A during peak hours,frank.olsson
INC00102,2025-01-23T08:46:01,2025-01-23T09:33:39,Access,Critical,Closed,Role permissions revoked unexpectedly for LATAM team,frank.olsson
INC00103,2025-01-23T11:24:09,2025-01-25T16:51:11,Email,Low,Closed,Shared mailbox permissions reset after migration,deepak.patel
INC00104,2025-01-23T13:45:42,2025-01-25T15:44:28,Printing,Low,Closed,Network printer offline after firmware update,alice.chen
INC00105,2025-01-23T15:24:15,2025-01-24T03:56:27,Email,Medium,Closed,Calendar invites from external senders not appearing in inbox,grace.kim
INC00106,2025-01-23T17:31:53,2025-01-28T18:36:03,Software,Low,Closed,Update rollout failing on Windows 11 NA-West machines,carla.singh
INC00107,2025-01-23T18:56:54,2025-01-28T05:02:38,Software,Low,Closed,Browser extensions blocked by new endpoint policy,alice.chen
INC00108,2025-01-24T02:43:59,2025-01-26T15:44:04,Software,Low,Resolved,Browser extensions blocked by new endpoint policy,eva.morales
INC00109,2025-01-24T08:01:27,2025-02-01T13:29:48,Printing,Low,Closed,Network printer offline after firmware update,frank.olsson
INC00110,2025-01-24T13:09:55,2025-01-24T17:45:58,Network,Critical,Closed,VLAN tagging issue preventing access to ops subnet,alice.chen
INC00111,2025-01-24T18:17:49,2025-01-24T23:00:54,Security,Critical,Closed,Suspicious outbound traffic detected from 3rd floor segment,carla.singh
INC00112,2025-01-24T20:09:26,2025-01-27T05:18:02,Hardware,Low,Closed,Keyboard unresponsive after sleep wake on Building C machines,carla.singh
INC00113,2025-01-25T01:18:19,2025-02-01T09:39:29,Hardware,Low,Closed,Keyboard unresponsive after sleep wake on Building C machines,frank.olsson
INC00114,2025-01-25T12:47:45,2025-01-25T15:21:53,Network,High,Closed,Cannot reach internal site engineering from remote network,eva.morales
INC00115,2025-01-25T13:43:55,2025-01-26T06:54:37,Security,High,Resolved,Suspicious outbound traffic detected from 3rd floor segment,deepak.patel
INC00116,2025-01-25T16:03:54,2025-01-27T21:28:09,Telephony,Medium,Closed,Phone extension 30 ringing wrong desk after move,bob.rivera
INC00117,2025-01-25T18:50:52,2025-01-26T02:38:19,Access,High,Closed,"SSO token expired prematurely, users locked out of ops",henry.nakamura
INC00118,2025-01-26T17:24:51,2025-01-28T03:14:50,Email,Medium,Resolved,Cannot send email with large attachment to external domain,carla.singh
INC00119,2025-01-26T17:56:13,2025-01-27T22:40:32,Access,Medium,Resolved,Role permissions revoked unexpectedly for EMEA team,henry.nakamura
INC00120,2025-01-26T18:33:57,2025-01-27T02:44:02,Software,High,Closed,Application crashes after latest update on 4th floor,carla.singh
INC00121,2025-01-26T23:54:33,2025-01-28T15:29:33,Email,Medium,Closed,Outlook freezes when opening attachments larger than 60MB,grace.kim
INC00122,2025-01-27T01:17:32,2025-01-31T04:05:53,Network,Low,Resolved,DNS resolution failing intermittently for APAC users,alice.chen
INC00123,2025-01-27T05:24:18,2025-01-27T08:06:00,Security,Critical,Closed,Anomalous login from foreign IP for hr account,carla.singh
INC00124,2025-01-27T08:55:03,2025-01-28T09:26:55,Hardware,Medium,Closed,Docking station not recognizing external monitor,grace.kim
INC00125,2025-01-27T22:38:08,2025-01-28T01:41:59,Software,High,Resolved,License server unreachable from sales office,grace.kim
INC00126,2025-01-27T23:33:37,2025-01-28T12:17:58,Access,Medium,Resolved,New employee cannot access required systems on first day,bob.rivera
INC00127,2025-01-28T06:49:14,2025-01-28T15:12:59,Access,High,Closed,"Service account credentials expired, batch job failing",deepak.patel
INC00128,2025-01-28T10:17:37,2025-01-31T23:05:43,Hardware,Low,Closed,Keyboard unresponsive after sleep wake on Building C machines,grace.kim
INC00129,2025-01-28T11:25:35,2025-01-30T08:10:41,Software,Medium,Closed,Update rollout failing on Windows 11 NA-West machines,bob.rivera
INC00130,2025-01-28T13:04:44,2025-01-28T22:51:14,Software,High,Closed,Database query timeout from ops reporting tool,alice.chen
INC00131,2025-01-28T13:17:48,2025-01-28T18:59:25,Software,High,Resolved,PDF viewer hangs on documents larger than 30MB,grace.kim
INC00132,2025-01-28T15:17:55,2025-01-29T02:44:28,Hardware,Medium,Resolved,Mouse cursor stutters on EMEA office laptops,eva.morales
INC00133,2025-01-28T16:32:14,2025-01-29T05:01:17,Network,High,Closed,DNS resolution failing intermittently for APAC users,deepak.patel
INC00134,2025-01-28T21:11:01,2025-01-29T23:04:45,Access,Medium,Closed,New employee cannot access required systems on first day,carla.singh
INC00135,2025-01-29T07:58:52,2025-02-06T20:53:32,Access,Low,Closed,New employee cannot access required systems on first day,grace.kim
INC00136,2025-01-29T10:17:41,2025-01-31T16:30:29,Hardware,Low,Closed,Headset audio cuts out during calls on docked machines,deepak.patel
INC00137,2025-01-29T14:24:15,2025-02-01T07:48:13,Software,Medium,Closed,Excel macros disabled after security patch,eva.morales
INC00138,2025-01-29T18:28:46,2025-01-30T08:10:28,Network,High,Resolved,Wi-Fi drops in Building B during peak hours,bob.rivera
INC00139,2025-01-29T18:37:41,2025-02-01T02:39:03,Telephony,Low,Resolved,Voicemail-to-email transcription failing for sales,eva.morales
INC00140,2025-01-30T00:41:04,2025-01-30T06:05:56,Access,Critical,Closed,Role permissions revoked unexpectedly for NA-West team,frank.olsson
INC00141,2025-01-30T06:20:27,2025-01-31T14:01:29,Access,Medium,Closed,Employee unable to access shared drive after department transfer,eva.morales
INC00142,2025-01-30T07:18:40,2025-01-31T07:46:51,Network,Medium,Resolved,Slow network performance reported on 4th floor,frank.olsson
INC00143,2025-01-30T08:48:42,2025-02-01T17:25:04,Security,Medium,Resolved,Endpoint protection alert on workstation R18,deepak.patel
INC00144,2025-01-30T10:21:45,2025-01-30T13:33:23,Network,Critical,Resolved,Wi-Fi drops in Building D during peak hours,eva.morales
INC00145,2025-01-30T14:55:18,2025-01-30T22:24:59,Email,High,Closed,Outlook freezes when opening attachments larger than 15MB,frank.olsson
INC00146,2025-01-30T15:03:48,2025-02-01T02:02:45,Email,Medium,Closed,Email delivery delayed by 10 hours to external recipients,eva.morales
INC00147,2025-01-30T19:05:56,2025-02-01T03:54:33,Email,Medium,Closed,Distribution list finance-team not receiving messages,frank.olsson
INC00148,2025-01-31T00:07:26,2025-01-31T21:35:04,Access,Medium,Closed,Password reset link not delivered to corporate email,grace.kim
INC00149,2025-01-31T00:25:29,2025-02-02T08:27:17,Email,Medium,Resolved,Shared mailbox permissions reset after migration,bob.rivera
INC00150,2025-01-31T07:22:31,2025-01-31T17:00:12,Network,Medium,Closed,VPN disconnects every 2 minutes for remote users in NA-West,grace.kim
INC00151,2025-01-31T12:26:23,2025-02-13T20:58:16,Email,Low,Closed,Calendar invites from external senders not appearing in inbox,henry.nakamura
INC00152,2025-01-31T21:34:59,2025-02-01T04:13:35,Access,High,Closed,MFA prompt loop preventing login to ops portal,frank.olsson
INC00153,2025-02-01T08:03:58,2025-02-04T06:59:25,Access,Low,Closed,New employee cannot access required systems on first day,henry.nakamura
INC00154,2025-02-01T09:35:31,2025-02-02T08:02:16,Telephony,Medium,Closed,Softphone audio one-way for NA-East remote employees,grace.kim
INC00155,2025-02-01T17:01:35,2025-02-03T05:35:25,Email,Medium,Resolved,Mailbox quota exceeded warning for NA-West users,eva.morales
INC00156,2025-02-01T19:14:44,2025-02-02T10:40:01,Email,Medium,Closed,Shared mailbox permissions reset after migration,eva.morales
INC00157,2025-02-02T09:09:51,2025-02-03T06:49:59,Software,Medium,Closed,Excel macros disabled after security patch,alice.chen
INC00158,2025-02-03T10:38:37,2025-02-06T18:53:32,Email,Low,Closed,Distribution list hr-team not receiving messages,carla.singh
INC00159,2025-02-03T16:59:13,2025-02-04T04:44:29,Network,High,Resolved,VPN disconnects every 30 minutes for remote users in NA-West,deepak.patel
INC00160,2025-02-03T20:38:13,2025-02-04T00:21:35,Access,Critical,Closed,Employee unable to access shared drive after department transfer,eva.morales
INC00161,2025-02-04T07:52:56,2025-02-09T02:34:43,Telephony,Low,Resolved,Softphone audio one-way for LATAM remote employees,deepak.patel
INC00162,2025-02-04T09:51:56,2025-02-08T04:00:02,Printing,Low,Closed,Driver mismatch preventing printing from EMEA laptops,bob.rivera
INC00163,2025-02-04T10:47:49,2025-02-07T14:26:04,Email,Medium,Closed,Mailbox quota exceeded warning for NA-East users,deepak.patel
INC00164,2025-02-04T12:51:27,2025-02-06T02:58:00,Email,Medium,Closed,Mailbox quota exceeded warning for NA-West users,henry.nakamura
INC00165,2025-02-05T06:46:25,2025-02-05T09:57:35,Hardware,Critical,Closed,Hard drive SMART failure warning on workstation R30,eva.morales
INC00166,2025-02-05T08:05:09,2025-02-05T18:46:01,Software,Medium,Closed,PDF viewer hangs on documents larger than 2MB,grace.kim
INC00167,2025-02-05T13:24:40,2025-02-05T22:49:40,Network,High,Closed,VLAN tagging issue preventing access to sales subnet,bob.rivera
INC00168,2025-02-05T13:48:02,2025-02-05T16:11:47,Network,Critical,Closed,Wi-Fi drops in Building D during peak hours,eva.morales
INC00169,2025-02-05T16:00:34,2025-02-06T02:04:30,Network,Medium,Resolved,"Switch port flapping on rack R30, multiple users affected",grace.kim
INC00170,2025-02-06T11:45:02,2025-02-06T16:20:50,Software,High,Closed,Application crashes after latest update on 3rd floor,bob.rivera
INC00171,2025-02-06T12:16:30,2025-02-07T23:56:42,Software,Medium,Resolved,License server unreachable from ops office,grace.kim
INC00172,2025-02-06T18:11:52,2025-02-07T16:37:27,Security,Medium,Resolved,Endpoint protection alert on workstation R35,frank.olsson
INC00173,2025-02-06T22:22:57,2025-02-07T05:41:47,Security,High,Resolved,"USB device blocked by DLP policy, user requests exception",eva.morales
INC00174,2025-02-07T05:34:28,2025-02-08T10:20:29,Hardware,Medium,Closed,Keyboard unresponsive after sleep wake on Building B machines,bob.rivera
INC00175,2025-02-07T07:42:31,2025-02-08T23:32:45,Network,Medium,Closed,Wi-Fi drops in Building B during peak hours,deepak.patel
INC00176,2025-02-07T10:23:14,2025-02-09T11:26:16,Software,Medium,Closed,Update rollout failing on Windows 11 APAC machines,alice.chen
INC00177,2025-02-07T12:52:28,2025-02-08T23:16:00,Telephony,Low,Closed,Voicemail-to-email transcription failing for ops,deepak.patel
INC00178,2025-02-07T17:30:28,2025-02-07T23:06:16,Network,High,Closed,Cannot reach internal site sales from remote network,bob.rivera
INC00179,2025-02-07T23:39:24,2025-02-09T22:44:05,Access,Medium,Closed,Role permissions revoked unexpectedly for NA-East team,grace.kim
INC00180,2025-02-08T22:39:02,2025-02-15T00:54:51,Hardware,Low,Resolved,Webcam not detected after latest OS update,bob.rivera
INC00181,2025-02-09T08:38:11,2025-02-10T01:13:27,Network,Medium,Resolved,Slow network performance reported on 3rd floor,henry.nakamura
INC00182,2025-02-09T09:25:54,2025-02-11T09:12:22,Hardware,Low,Closed,Headset audio cuts out during calls on docked machines,eva.morales
INC00183,2025-02-09T20:49:56,2025-02-10T07:46:38,Network,High,Closed,VPN disconnects every 10 minutes for remote users in NA-West,eva.morales
INC00184,2025-02-10T05:14:25,2025-02-10T21:07:51,Access,Medium,Closed,Employee unable to access shared drive after department transfer,eva.morales
INC00185,2025-02-10T08:24:35,2025-02-10T16:39:20,Network,High,Resolved,VPN disconnects every 2 minutes for remote users in NA-West,henry.nakamura
INC00186,2025-02-10T13:25:36,2025-02-11T04:22:39,Security,High,Closed,Endpoint protection alert on workstation R16,carla.singh
INC00187,2025-02-10T16:21:42,2025-02-11T01:00:55,Network,High,Closed,Slow network performance reported on 3rd floor,grace.kim
INC00188,2025-02-10T21:29:37,2025-02-11T02:56:36,Hardware,High,Closed,Hard drive SMART failure warning on workstation R37,carla.singh
INC00189,2025-02-11T05:36:19,2025-02-12T22:07:25,Hardware,Medium,Closed,Docking station not recognizing external monitor,bob.rivera
INC00190,2025-02-11T06:26:17,2025-02-11T10:02:53,Hardware,High,Resolved,User laptop battery drains within 5 hours of unplugging,eva.morales
INC00191,2025-02-11T07:15:04,2025-02-11T18:50:39,Network,Medium,Closed,Wi-Fi drops in Building C during peak hours,henry.nakamura
INC00192,2025-02-11T07:26:55,2025-02-11T12:29:10,Network,High,Closed,Cannot reach internal site ops from remote network,alice.chen
INC00193,2025-02-11T10:24:30,2025-02-12T03:11:26,Telephony,High,Closed,Conference room phone in Building A not registering,henry.nakamura
INC00194,2025-02-11T11:03:04,2025-02-11T13:08:16,Security,Critical,Resolved,"Phishing email reported by NA-West team, possible click-through",deepak.patel
INC00195,2025-02-11T14:54:41,2025-02-11T21:03:10,Access,High,Closed,"SSO token expired prematurely, users locked out of hr",alice.chen
INC00196,2025-02-11T20:08:04,2025-02-12T06:14:16,Hardware,High,Closed,Hard drive SMART failure warning on workstation R38,henry.nakamura
INC00197,2025-02-12T03:26:05,2025-02-13T05:14:11,Network,Medium,Closed,"Switch port flapping on rack R11, multiple users affected",grace.kim
INC00198,2025-02-12T11:22:13,2025-02-12T15:01:37,Software,Critical,Closed,Browser extensions blocked by new endpoint policy,carla.singh
INC00199,2025-02-12T15:47:18,2025-02-12T23:43:49,Network,High,Closed,Cannot reach internal site hr from remote network,henry.nakamura
INC00200,2025-02-12T17:52:18,2025-02-14T18:09:24,Email,Medium,Closed,Distribution list hr-team not receiving messages,deepak.patel
INC00201,2025-02-12T19:18:27,2025-02-14T14:36:34,Network,Low,Closed,"Switch port flapping on rack R22, multiple users affected",eva.morales
INC00202,2025-02-13T07:38:45,2025-02-13T23:02:53,Hardware,Medium,Closed,Webcam not detected after latest OS update,grace.kim
INC00203,2025-02-13T08:42:50,2025-02-13T19:15:27,Software,High,Closed,Update rollout failing on Windows 11 EMEA machines,deepak.patel
INC00204,2025-02-13T13:48:41,2025-02-14T22:47:54,Software,Medium,Closed,Application crashes after latest update on 5th floor,frank.olsson
INC00205,2025-02-13T14:53:56,2025-02-14T23:18:48,Telephony,Medium,Resolved,Voicemail-to-email transcription failing for hr,grace.kim
INC00206,2025-02-13T23:57:22,2025-02-15T19:03:51,Access,Medium,Closed,Role permissions revoked unexpectedly for APAC team,frank.olsson
INC00207,2025-02-14T03:46:41,2025-02-17T05:32:25,Software,Low,Closed,Excel macros disabled after security patch,henry.nakamura
INC00208,2025-02-14T07:46:01,2025-02-15T13:11:54,Software,Medium,Closed,PDF viewer hangs on documents larger than 5MB,alice.chen
